user_id,count
tomarint,18
proton_1602,13
eityans,17
Laika,19
mikikun1959,18
ulan4,15
yoichiro,19
MEGANEnoKAMISAMA,3
makiba,7
cand,19
thishi,16
kazunetakahashi,18
hnustguohuai,3
Kuryu_S,2
TakoKurage,19
tsukimizake,7
miscalculation53,18
Kant,19
hm0088,11
chudanu,3
masutech16,18
suzukisan_love,18
reborn18,17
rikka,15
Doarakko2049,8
dunpeal,3
yetnone,18
jorujio,7
yly,6
highspec210,11
CleyL,17
yuyu12,18
mamime19,18
gdmiwasawa,5
LCA,14
goropikari,18
hrbt,15
akht,9
dicenull,10
Shaketan,8
AT274,17
Internet,5
katata,8
maron8676,19
inletsun1,2
wikrsh,17
keyi,2
cunitac,19
purine,16
jason53415,6
megamegane,16
naodroid,5
amezaki1007,13
tadaren,17
hyperion_1724,12
midzki,15
kzykmyzw,7
Sho10,8
yasai03,13
totototakemu,3
killerrk,16
sintan,16
shkgn24,7
Moscwa,17
dutsrat,2
okumura,6
tacha_ioiq,11
yuki228285,11
masakick,3
cowgirl,18
Maitneel,8
kametaro,16
mulgray,14
rskmoi,1
mokamoto12,6
torokon,15
hakusye,13
koeru111,8
imaichi1191,18
rimol,9
szkieletor,3
Ruki,12
yosh1,15
shino_sky,8
rakibulhasanmrh,8
skrts13,3
ikuya_sam,3
teacup,8
kuromi,11
tran0826,19
kyomukyomupurin,16
toromaki,18
xiaoshizhan,19
kayaminm7,12
shunby,15
C05,18
nessie,12
mlpj56d,13
hnust_jianghao,2
yosiiii,18
JPnakamura,13
avion,9
osamu329,12
burokoron,8
Shaswat57,2
WBeLucky,5
UFO_titech,1
otc3,3
Kenkoro,19
ssdh233,14
KUMAWO,19
wtr,4
Aotsuki_,18
yamadah,7
kkiriyama,15
hogeover30,19
nrvft,8
Almond,18
misora192,12
fucking_man,1
TomA,17
amankh99,5
momasahrio,11
kekenx,14
eicge6tgns,8
m8867437287,3
muranokami,5
akariki,18
access27,15
uni745e,10
p623,13
gya9,4
type59ty,4
shosinsha,9
selpo,12
Boonyon,11
Atomic,14
hkrhashi,6
hnust_jiangcong,2
proteasome,17
nakario,17
petite_prog,19
yxx3tch,6
trycodeforfun,8
prim,4
taki_g,9
Ricky_Ban,4
mhi3,15
motacapla,14
taishiNS,16
morymory,17
Monotrea,13
Shota_0214,2
codeworm312,11
Tatsuya_san,19
login,4
Pellier,3
derodero24,5
kakudo415,5
Walking400GB,19
kimura512,12
MLEAutoMaton,12
Ryoga_0212,6
heysan,16
took,8
izac55555333,9
ysfk,18
BARISU,16
kichi2004,19
Makano,4
brant0723,6
ttm8761,18
issei,18
gaudi08,19
Wie,2
kkr,10
lotus0r,9
side,19
kouma1990,13
escgreen,14
diohabara,12
atchi_coder,16
nYJee,5
tonami,14
Ebishu0309,19
siro53,11
season,19
migeater,2
Zakky,18
hachi88,16
huit,13
dskymd,4
hhr0718,5
david,14
Redshift,1
ssd619,10
scdm,1
uemt1,13
daira4000,12
serenity31,4
tobiuo1990,13
Dice64,13
himalayanegi,2
hakoshie,19
Kuromaru,10
nuwatan,3
coffee_beans,14
agw02010,19
OvThAlmin,18
takoagemat,17
shuG,17
Osa_Pyon,14
bpine,16
nnsr,13
kimura1821,15
mumumucoder,10
ttyskg,18
Decision,5
ziroppe,16
PaPaSmurf,4
caffeine40mg,5
HeV,6
onigawara,18
stokuda,3
honda0ko,6
O1O1,15
mitsu333,16
dango_785,4
tato,15
warahiko,8
Kandam,14
teru0016,1
MiraiNIKI,13
bucchi8,19
sumou1011,19
kohdai,14
xml9shiki,19
morutole,3
tanachu,6
tokizo,17
odasatoshi,17
haile,3
hiroa,19
Nalga,18
guriko,13
tnaito0315,5
rodea_0952,18
Ravenoux,12
abab,14
mashpoon,18
mirachu,10
neko_kichi,8
daiAtCoder,12
phos,13
fshuto,13
mkjiro,18
MasakiAOTA,11
Kay_Shirasawa,16
moon_27,4
kz_0420,18
bhupixb,3
namachan10777,8
aqua0631,17
ag_kirara,4
sugibad1412,14
loongtail,5
mt_kuma,8
rrf,18
me2er,2
whisper0077,17
pei166,18
WDC,5
toutatsu,17
arthurconmy,6
kojiji,6
t_tomo,6
harusan,16
banban,5
fuji_8,2
temu,8
mohi,13
un_kk,17
uzksho,4
tea437354,15
SH2,8
bansakuaoi,10
yutake2000,16
pynomi,13
Rikuya6,10
neko_rom,1
noko206,8
skchdr,15
amata1219,19
jinjiren,3
empty_fine,7
justya,8
samraimarket,7
shakayami,18
kvin_MisterD,18
k_kiri,7
ate,18
osciiart,11
yftv6203,19
RMQ,18
Kevin20071026,5
mtmtznd,5
jmchoi1225,3
koikuchi,18
kosuke1012,15
motinadi,5
amyu,18
iruka,16
long_long_long,10
hp1999,4
Kiterai,8
sakuraiimuya,14
FrevChuso,12
westriver,4
sunyryr,14
TobiasGSmollett,1
hnust_chenzhili,1
hnust_tengmaolon,2
TateyamaKaito,9
stng,17
acomagu,3
nshun,12
gonta_ut,1
manta1130,18
s103ng,15
yusuke_wk,6
ccppjsrb,17
Petty_mogul,1
stb,2
koffee,19
hatanas726,5
hagitaku,14
inazuma110,18
Today,14
Apppp11,6
ai5ha,1
yk777,3
eita0368546,3
keityan,11
tsucchee,15
otafuro,5
shinji,9
pontadao,18
BazaarHey2004,3
shimipon15,12
wednedsday0814,3
tobiom,11
Lily0727K,15
hotiket,14
martha,5
usagi4430,11
Yoshiakira,18
nitumeta339,15
xgzc,1
ponpon05,11
sodefrin,7
teru0x1,10
xsthunder,10
kemingsurface,18
nzw,3
yasu0525,3
Ruckt,7
meriam,1
hiro_k,14
OAsa,9
yamatoumi,13
shar18,11
daut,19
yellow_melons,2
sei1tani,2
Cucumbergreen,11
developmaso,19
kuisiba,7
ysys13,8
Noritamago,7
peradfn1126,7
hnust_zhongyuyi,5
simkaren,14
callman,10
maya2250,16
isihya,1
Michele,6
inushida,17
ninben,2
motomoto,9
pit611kepo3054,18
KumaTachiRen,15
bluexleoxgreen,17
primulajuliae,1
inudaisho,3
jjjjjjjtgpptmjj,19
cc226158,19
shizukacode,5
Kusiro2427d,5
mdstoy,19
eijit,12
mina2000gt,12
Suichi,1
Roupika,16
ant2357,11
BSC_exaltedorb,18
cinnamon,18
aoi_,5
I_HATE_JAVA,8
hiroshun,12
dot_haraai,11
d_nishiyama,2
hotsnowspring,11
rei_k,14
irxground,17
WooCie,10
kimono,2
wag_k,15
ringo9971,6
lixinyue,6
peace_of_junk,17
tkr987,18
ichitaro828,7
PINKUN,6
NaokiOsako,16
equal_l2,13
hnust_zhangpeng,4
kan_ki,7
sbite,18
katslow,6
norezark,14
HimHim,9
ken_,7
tuko_black,5
uukosnubeyn,11
aochan,17
makome,6
KEN_RP,14
tsatoshi703,5
harumeki,9
BlackBracken,5
p221,14
shinjisu,4
koitan,14
Megane_88,17
lq07,11
matsuu,16
Daiki_Yamada0516,5
igara432,9
katom,16
HBonsai,15
Cashimom,11
mobtake,15
eigh8_t,6
iiharu,13
ban,3
flast,8
kakiryo,15
mono1120,15
material,18
WB_hacker,11
fortoobye,2
andooown,4
nishiokun,7
penguinshunya,16
sosuke115,15
team_spc,1
berry,14
akcb_t,6
Aslan168,11
KoyanagiHitoshi,13
code_name123,18
cobalt1024,6
c2chem,12
jokertake,2
nesya,19
yuma25689,13
Thistle,17
hnust_jiangyix,5
Mirage,2
tad092626,5
Fancy_,13
unipota,2
hnust_yanglin,2
skaw,17
pony_murayama,17
hilolih,8
momohara,18
ha22457098,6
chikkun,9
omu58n,4
Jack8,7
robp,1
kawatom,2
Jumpaku,18
x0214sh7,19
hibichof,4
tokumaru,10
Hatsuka,6
Yu_212,18
YDKK,4
noman,11
tappei,3
masafumi,18
sopurani885,6
mint,16
mte3,2
Hero1632,3
SoutaTanaka,9
ty70,1
GENBU,6
marukakko,5
miku,18
shinsuke9415,7
peria,2
ashish_nar,2
Tosachi,9
fdironia,11
mamao,12
ir_1st_vil,16
Kanabun,13
EEDECA,5
Zeround,5
deshi,2
k97037171,8
satya26,17
prnrg387,6
hnust_taocuiling,5
ken_oz,11
hippochang,6
nexusuica,10
tetsuro1919,10
near0401,14
eugalt,13
madoka,19
morokko,2
tm0000k,10
miguel,4
TYuto,1
super22docious,4
bismuth,14
ne290179,7
seigok,13
yotuha,14
Sphenisciformes,9
yuyaterada,6
kimiyuki,10
hitting1024,9
apigoflily,11
darushino,16
stkdev,13
Noiri,16
kazukazu,8
tacmasi,11
tuyuri6ka,6
Siketyan,4
hnust_yangyanjun,5
gotou_yuki,1
xlxkazuki,5
Shizuku,13
hnust_lifanlong,3
shogier,18
gmmtea,17
xzt220,11
hope_ton94,17
rabbitfoot,11
yoshi1378,13
milky1210,9
noza,11
hnust_lizhihao,6
asurato,2
asuka_kurasina,3
HydrogenFluoride,15
NapierJP,3
rnazmo,19
Bulbul_017,13
kusano,15
koheijp,17
Pkodama,14
tell0120,15
tatuyahyahya,8
sutoku0718,12
wataru86,12
Gaatang,8
Yumaski,12
ikanago,16
benzenehat,2
koshihikaru,1
yk11,16
T45K,13
Shibungi,13
hnust_wanghaozhe,3
kenketsuzuki,9
nt1010,16
Sokenbichan,4
azennto,12
naokada,2
MZKi,18
vin,7
BSer,17
fusen,4
eye_engine,6
naoya_chan,3
kiyu,18
Dreamerthree,4
gengogo5,6
rook,3
tanyangying,10
mas_tai,15
goldenfishwolf,5
battamon,9
to12lz,14
hashinma,6
km1216jp,14
TakeruAce,5
satoshi_f,18
tinytany,5
a5ob7r,6
shompepe,11
yniji,18
Alien_,1
KUNIO_NAGAI,6
cojna,11
koujiya201712,10
kiyomii,10
osakanamaru,13
hotpepsi,11
mitsuaki,4
cultivatetsubo,4
yh1224,7
oldos,1
bio4eta,19
gorohash,6
mochidan,19
marimoko,8
iva7,17
kamiyaowl,5
Nadia87,6
neku,12
rin_kirihara,2
nhara551,14
taku_,2
musaprg,17
NS601023,11
MATSUMAT,11
PrCp1N,7
riaf,6
shirasu,2
Ohata_Kenji,7
ocelot75,1
azarashi_uni,3
ntjmy,7
chanchii,13
zaqi5678,8
k3nNy,8
hnust_xiecaozhuo,12
Altemis,6
hnust_yanglei,10
procrastinator_6,8
Double_oxygeN,1
hyahoitaro,11
File_xor,4
zato,14
throne,2
reluka9339,11
arknave,10
karasuex54,15
katumi,14
JO_DO,1
kyokochan,1
hnust_luochaoyi,3
aniy4ice,9
chsyao,5
danielsun3164,4
nobug5c9,8
uzzy,17
Digaus,14
ogura01,16
Kanaya,14
mikotex,4
hrn,6
ricald21,7
c5433,5
slimepettan,19
caidx,3
hrkx,9
popomy,9
cistertail,15
ankokumoyashi,5
Dente,15
Nefertiti,15
cawteh,8
mochi5m3,1
glycelery,6
copyrat90,1
Sagerin,7
calculator29,15
jumbo,4
baobao1702,2
bostonzarigani,12
m_m,14
Znfnxv,5
tso_moriri,14
hnust_guanzixiao,7
zipdang04,3
nagitaosu,18
temp176,4
hnust_xiebo1,2
GoldPointer,6
ddtkra,16
beetea,1
hnust_RuanJN,7
toot_tatsuhiro,18
horiso0921,14
melonpan,4
raoZ,16
penggy,3
ItsukiNamito,8
l8tot8kiibreak,8
timkaze,7
HoneyMack,7
aut_jul_dur,8
lynmisakura,18
qnickx,5
Shuzaei,8
shirohevi,7
ink,17
drilldripper,13
sago35,4
ngs_436,18
wakimiko,12
nekoroko,15
T1610,14
yutaro0121,6
maguchi,19
voxy14,7
Gachi526,4
oz4point5,8
isaribi24601,6
junjunjunk,17
takumiwish,2
koyo1110000111,9
aki_sen,19
takechan,14
mokrai,5
Jsimluken,6
ckm626424,7
gaia,10
m_9719,19
cisko,5
Xiii111,7
YUNATO525,9
valusun,8
Dotter,12
Array_guma,18
wkodate,6
amigurumicats,8
rohna,14
Raguon,15
luckyno9,19
shion400,7
White_Green,15
robertcal9,13
ksfather,18
omygtsux,5
mugen1337,13
miyahan,10
piro77,12
sciencesakura,12
hhyuga,3
yurari29,11
genghiskhan,3
r174,8
tsutsutaku,8
takahiro0224,6
Atria,9
d6ms,9
sakazoo,1
t6is,15
Kasega0,5
mukakego,19
Takur0,14
nao_2c4,2
wisniki,2
tsuka05,11
ha4gu,15
hiroaki0615,19
zaubermusik_i,9
tatsumaru,3
EOi,5
MUF,5
issan,3
st2d,18
IdealLife3,12
tarovel4842,15
pipbcmsi,4
taichi31,8
kambarakun,1
kurakura,15
KKCMN,4
teacat,18
ogy,17
SobaNoodle,8
Radperia,10
terafon,16
karmaninja,17
hytus,7
niszet,5
tomoyat1,6
nuigrm,13
mafuyu_7se,8
shanpu,3
kud_wata,4
ooharabucyou,12
huwamoko,13
mathyuuugo,18
Gorgeous1,3
sirokome19,17
hidemaru,10
takoyakiusagi,10
mochi999,17
wjl,2
suetech,4
ryboc,16
s8ita,10
azukimame,12
ju0ar,7
