rank,user,participation,rating
536,vasilescu_mihai,14,2329
536,jefrai,10,2329
538,math957963,53,2328
539,ll931110,40,2327
539,Rudy358,105,2327
539,Philae,34,2327
539,chenyanbo,40,2327
543,mibig,57,2326
543,snow39,34,2326
545,senpai_notice_me,11,2325
546,Nezzar,127,2324
546,RUSH_D_CAT,130,2324
546,walnutwaldo20,46,2324
546,train_driver,30,2324
546,gzy_ioi_2020_ak,10,2324
551,nikgaevoy,29,2323
551,cwystc,12,2323
551,MaximOboznyi,52,2323
551,m1sch3f,35,2323
551,Wechselhau,16,2323
551,_twilight,5,2323
557,huzecong,35,2322
557,248926,19,2322
559,tanphatls987,63,2321
559,Ali.Kh,117,2321
561,Kerim.K,122,2319
561,xuanquang1999,94,2319
561,Marckess,45,2319
564,ParsaA,119,2318
564,lawfung,45,2318
566,adedalic,62,2316
566,schtomi97,25,2316
568,almogwald,60,2315
568,kr_abhinav,57,2315
568,Goorkiewicz,23,2315
568,ioimooeee,37,2315
572,Enchom,95,2314
572,ekrem,52,2314
572,TheToadologist,5,2314
575,platypus179,75,2313
575,-Wave-,87,2313
577,bekzhan29,78,2312
577,t90tank,29,2312
577,fkount,14,2312
577,HanwhaEagles,10,2312
577,huhaoo,18,2312
582,Mlxa,35,2311
583,ulna,97,2310
583,bazsi700,61,2310
583,20020924liu,26,2310
586,Semenar,13,2309
586,DomiKo,101,2309
586,littleju,5,2309
589,Timur_Sitdikov,112,2308
589,Tianhen,10,2308
591,Degalat57,70,2307
591,sansen,30,2307
591,qazswedx2,12,2307
594,top34051,55,2306
594,AleksBolosFan,44,2306
594,Toeto,7,2306
594,ixy,3,2306
598,79brue,32,2305
598,summitwei,51,2305
600,pparys,15,2304
600,StarCuriosity,58,2304
600,stasio6,17,2304
600,VladProg,100,2304
604,pllk,100,2303
604,Emiso,124,2303
604,jacynkaa,17,2303
604,MaxZubec,135,2303
604,TwoFx,67,2303
604,SecondThread,53,2303
604,paulica,74,2303
604,Apollochen,8,2303
612,witua,150,2302
612,ibuki_suika,10,2302
614,RiKang,41,2301
614,ladpro98,65,2301
614,Delfad0r,22,2301
614,zlc1114,36,2301
614,amsen_,7,2301
619,georgerapeanu,78,2299
620,SergeyMelnikov,9,2298
620,beet,51,2298
620,taew,7,2298
623,PikMike,177,2297
623,Arturgo,49,2297
623,Pajaraja,24,2297
623,Forestryks,55,2297
623,rainy_season,13,2297
623,Retro3014,37,2297
629,nigus,124,2295
629,Acid,21,2295
629,teja349,84,2295
632,MrDecomposition,69,2294
632,KevinWan,36,2294
634,JeffreyHo,60,2293
634,FeatherFalling,6,2293
634,Okrut,26,2293
637,RDDCCD,29,2292
637,atalasion,25,2292
639,logicmachine,161,2291
639,G.Z.V.O.D.E.N,3,2291
641,Bugman,165,2290
642,dengyaotriangle,46,2289
642,baIuteshih,4,2289
644,wangyisong1996,23,2288
644,Arg_007,131,2288
644,LMOliver,12,2288
644,It5t,4,2288
648,papa3,63,2287
648,Lagoon_,7,2287
650,Vedensky,40,2286
650,Smaug,103,2286
652,ryo_issy,64,2285
652,sunsiyu,13,2285
652,IgorI,63,2285
652,ilulu,3,2285
656,kimden,64,2284
656,Hell_Eclipse,58,2284
656,2002iq,18,2284
659,DmitryBelikov,93,2283
660,Weeeee,45,2282
660,olphe,99,2282
660,EtherLand,41,2282
663,TheDude,14,2281
