rank,country,user,affiliation,birth,rating,highest,match,win
203,JP,kort0n,The University of Tokyo,1997,2624,2624,31,0
204,CA,splittinghares,,1999,2623,2673,23,0
205,PL,mareksom,University of Warsaw,1995,2621,2655,9,0
206,RU,kraskevich,,1996,2615,2615,13,0
206,CN,yww,,,2615,2615,4,0
208,RO,AndreiNet,,1998,2613,2643,15,0
208,CN,orbitingflea,,2001,2613,2613,11,0
208,CN,jah_melon,,2001,2613,2613,11,0
211,SE,nigus,,,2611,2611,45,0
211,JP,re_sha,,,2611,2615,18,0
213,CN,yx_lu,,2000,2610,2610,6,0
214,JP,TangentDay,"Recruit Communications Co., Ltd.",1993,2604,2681,97,0
214,JP,Pulmn,,,2604,2637,52,0
216,US,socketnaut,Cornell University,1994,2601,2601,13,0
217,CN,wtw,,1996,2600,2615,13,0
217,RU,scanhex,,2002,2600,2603,14,0
219,KR,Namnamseo,Seoul National University,2000,2594,2654,27,0
219,DE,lumibons,TU Munich,,2594,2594,3,0
221,KR,kdh9949,Seoul National University,1999,2592,2592,17,0
221,CN,stilltooyoung,,,2592,2656,10,0
223,RU,cdkrot,,,2591,2632,20,0
223,CN,yfzcsc,,,2591,2591,9,0
223,CN,guo,Yali High School,,2591,2622,13,0
226,JP,goto,paken,,2589,2623,14,0
226,JP,PIandS,,,2589,2712,63,0
226,BD,dragoon,,1986,2589,2724,39,0
229,JP,reew2n,筑波大学,1997,2588,2588,58,0
230,CN,lastans7,,,2587,2631,15,0
231,SG,pwypeanut,,1999,2586,2691,22,0
231,RO,fanache99,,,2586,2689,13,0
231,RU,voidmax,,,2586,2611,10,0
231,CN,fangyoule,,2002,2586,2586,9,0
235,RU,pavelsavchenkov,,1994,2585,2585,28,0
236,TW,PECaveros,NTU,1996,2583,2583,8,0
237,JP,drafear,Kyoto University,1995,2582,2593,50,0
237,CN,tqyaaaaang,,,2582,2617,13,0
237,CA,Eliden,,1998,2582,2593,19,0
240,JP,noshi91,Tokyo Institute of Technology,,2581,2582,53,0
241,RO,tamionv,,1999,2580,2612,7,0
242,RU,grumpy_gordon,,2000,2579,2686,31,0
243,CN,Miceren,SJTU,1995,2578,2578,6,0
244,KR,imeimi2000,,2000,2577,2588,7,0
245,JP,smiken,,1994,2575,2594,69,0
246,CN,rqy,,2002,2573,2573,18,0
247,RU,darinflar,,,2572,2572,6,0
248,CN,Demerzel_IV,Yali Middle School,2001,2570,2573,21,0
249,DE,pwild,FAU,,2569,2618,31,0
249,UA,MrDindows,,1994,2569,2732,16,0
251,IN,YashChandnani,,1998,2568,2568,8,0
252,CN,Roundgod,Nanjing University,1999,2565,2590,20,0
253,CA,FatalEagle,University of Waterloo,1998,2563,2663,11,0
253,BE,vlecomte,Columbia University,1996,2563,2582,14,0
253,CN,wzp,,,2563,2563,23,0
256,IN,teja349,IIT Madras,1998,2562,2647,32,0
257,PL,ania,Polish Academy of Sciences,1991,2561,2561,15,0
257,CN,wcz111,,2001,2561,2561,9,0
259,RU,isaf27,Higher School of Economics,2000,2559,2595,14,0
259,CN,tour1st,,2005,2559,2567,10,0
261,RU,sert,,1996,2557,2557,5,0
262,CN,zltttjm,,1926,2555,2555,8,0
263,RU,Belonogov,Russia,,2549,2678,12,0
263,JP,gasin,ut,1997,2549,2549,52,0
263,KR,unused,,,2549,2549,10,0
266,JO,Motarack,PSUT,1997,2548,2619,51,0
267,JP,math,Indeed,,2547,2828,77,0
268,RU,gritukan,,1998,2546,2698,27,0
268,RU,Ping_Pong,,2001,2546,2637,27,0
270,TW,hank55663,,,2544,2544,29,0
271,IN,alecsyde,IIT Kanpur,1995,2542,2583,17,0
272,UA,BigBag,,1999,2541,2541,22,0
273,IN,jtnydv25,,1998,2540,2545,20,0
274,PL,elvina,,1996,2538,2538,13,0
275,VN,chemthan,FPT University,1992,2537,2694,38,0
275,HK,nhho,The Chinese University of Hong Kong,1997,2537,2537,32,0
275,US,dragonslayerit,,,2537,2537,3,0
278,UA,mHuman,-,1999,2532,2532,23,0
279,RU,BudAlNik,ITMO University,1997,2526,2631,13,0
280,VN,dnk,東京工業大学,1997,2523,2604,15,0
280,CN,Anson,,,2523,2523,6,0
282,BY,avolchek,,,2515,2583,10,0
283,CN,lsmll,ZJU,1997,2512,2512,11,0
284,JP,hirosegolf,unlambda,,2509,2560,20,0
285,KR,jihoon,KAIST,1998,2507,2507,17,0
286,PL,Miyukine,,1999,2504,2504,15,0
286,JP,cyz666,東京八王子幼稚园,2001,2504,2504,10,0
288,RO,teomrn,,,2502,2502,12,0
288,CN,Wearry,,2001,2502,2530,16,0
290,JP,sumitacchan,,1994,2500,2500,27,0
291,JP,logicmachine,,,2499,2753,68,0
292,JP,btk15049,Nitech. OB,1994,2498,2610,58,0
293,JP,pekempey,新潟県,1995,2497,2555,78,0
294,JP,hoget157,The University of Tokyo,2000,2496,2624,63,0
294,CN,missever,,,2496,2496,9,0
294,CN,HeHere,Yangzhou High School of Jiangsu Province,2003,2496,2496,8,0
297,CN,liumh8,Sun Yat-Sen University,1997,2493,2530,10,0
298,BR,fsouza,,1993,2492,2693,20,0
299,JP,square1001,KCLC,2002,2491,2675,59,0
299,JP,gazelle,Kyoto University,1997,2491,2501,65,0
299,CN,whzzt,,2001,2491,2491,3,0
302,MD,reality,MIT,2000,2490,2490,39,0
303,JP,yuma000,Kyoto University,1995,2489,2505,19,0
304,RU,Kurpilyansky,,1993,2488,2579,10,0
305,BY,subscriber,,1995,2485,2485,6,0
306,CN,Cyani,Hangzhou Xuejun High School,2003,2484,2530,26,0
307,KR,OnionPringles,,1995,2483,2483,7,0
308,JP,tos,PFN,,2481,2544,14,0
308,BG,radoslav11,Plovdiv High School of Mathematics,2001,2481,2481,18,0
310,UA,Vasyl,,,2478,2573,5,0
311,CN,lis,The High School Affiliated to Anhui Normal University,2000,2477,2535,16,0
312,JP,ynymxiaolongbao,Paken,2003,2476,2480,61,0
312,UA,Wrinx,,,2476,2506,21,0
312,CN,xiper,University of Electronic Science and Technology of China,,2476,2476,11,0
315,KR,kajebiii,Seoul National University,1998,2474,2566,8,0
316,JP,pes,NOP,,2472,2472,16,0
316,US,chenmark,MIT,1990,2472,2477,23,0
318,GE,BaKIn,,2002,2470,2470,17,0
319,CN,frank_c1,Tsinghua University,2000,2469,2508,14,0
319,CN,funcsr,,,2469,2489,50,0
319,HK,chb1975,,1975,2469,2469,21,0
322,JP,kyopro_friends,Japari Park,,2468,2468,31,0
323,IN,akashdeep,,1992,2467,2467,28,0
323,CN,yybyyb,Changjun High School,,2467,2492,9,0
325,BR,tfg,,1997,2464,2464,30,0
326,FI,mangolassi,University of Helsinki,1999,2461,2461,9,0
327,JP,JTJL,...,1996,2459,2574,11,0
327,CN,xzkflowey,,2001,2459,2459,9,0
329,JP,kimiyuki,Kobe University,1995,2458,2524,44,0
329,RU,Ilya_MSU,,,2458,2458,11,0
331,JP,betrue12,会社員,1988,2455,2473,35,0
332,JP,ixmel_rd,Ritsumeikan University,1995,2451,2464,44,0
332,SG,guangxuan,,1999,2451,2460,24,0
334,JP,leign,東京大学,1996,2448,2476,70,0
335,JP,fuppy0716,The University of Tokyo,1996,2447,2447,47,0
336,UA,Wild_Hamster,,1995,2446,2455,14,0
337,CN,swm_sxt,,2000,2445,2445,20,0
338,SG,mister,-,,2443,2443,6,0
339,TW,bigINnnner,,2016,2442,2551,36,0
340,CN,clatisus,Beihang University,1997,2436,2436,20,0
